"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.208737066E2,6.506083272E1,2.546802623E1,1.803294657E1,1.530380487E0,2.717798462E2,2.268211365E0,3.000000000E0
4.218739286E2,6.506083389E1,2.546800132E1,1.788297612E1,1.503892660E0,2.710403442E2,2.223987579E0,3.000000000E0
4.228737296E2,6.506083594E1,2.546797162E1,1.760891300E1,1.496889830E0,2.717918396E2,2.207827091E0,3.000000000E0
4.238737756E2,6.506083602E1,2.546793834E1,1.752247917E1,1.501528621E0,2.737812500E2,2.220615387E0,3.000000000E0
4.248742276E2,6.506083722E1,2.546790650E1,1.747339761E1,1.501741409E0,2.741644897E2,2.219674826E0,3.000000000E0
4.258739726E2,6.506083844E1,2.546787569E1,1.731215744E1,1.498175621E0,2.804295654E2,2.171766281E0,3.000000000E0
4.268737986E2,6.506084119E1,2.546784519E1,1.728387616E1,1.494878292E0,2.879288330E2,2.086724758E0,3.000000000E0
4.278739866E2,6.506084442E1,2.546781469E1,1.759176777E1,1.493723869E0,2.935989990E2,2.031386614E0,3.000000000E0
4.288738856E2,6.506084923E1,2.546778189E1,1.775511177E1,1.505509377E0,2.938007202E2,1.957664251E0,3.000000000E0
4.298738966E2,6.506085742E1,2.546775219E1,1.781920116E1,1.518397212E0,3.017804565E2,1.946678162E0,3.000000000E0
4.308739036E2,6.506086912E1,2.546773318E1,1.788603426E1,1.522043705E0,3.143063049E2,1.940729141E0,3.000000000E0
4.318741226E2,6.506088308E1,2.546771740E1,1.777313788E1,1.534559369E0,3.300125427E2,1.934661150E0,3.000000000E0
4.328741206E2,6.506089774E1,2.546771600E1,1.781863671E1,1.538836241E0,3.430626831E2,1.944519043E0,3.000000000E0
4.338739566E2,6.506091063E1,2.546771381E1,1.775312068E1,1.530048251E0,3.511312561E2,2.029773235E0,3.000000000E0
4.348739526E2,6.506092778E1,2.546770917E1,1.785464879E1,1.559869766E0,3.576790771E2,2.069849491E0,3.000000000E0
4.358739906E2,6.506093963E1,2.546771344E1,1.794577666E1,1.543885112E0,3.559694519E2,2.035784721E0,3.000000000E0
4.368740146E2,6.506095308E1,2.546771734E1,1.798810161E1,1.542206287E0,3.586147156E2,2.067278624E0,3.000000000E0
4.378741956E2,6.506096734E1,2.546772212E1,1.803620005E1,1.546030045E0,4.129422665E0,2.087421894E0,3.000000000E0
4.388742356E2,6.506098060E1,2.546772745E1,1.827330037E1,1.540327072E0,3.711599588E0,2.185679913E0,3.000000000E0
4.398745586E2,6.506099325E1,2.546772920E1,1.854081124E1,1.529797554E0,3.583033752E2,2.222211361E0,3.000000000E0
4.408742936E2,6.506100804E1,2.546772287E1,1.886387423E1,1.540318012E0,3.529491272E2,2.220602751E0,3.000000000E0
4.418742096E2,6.506102105E1,2.546771403E1,1.903408098E1,1.536168575E0,3.496151123E2,2.297653675E0,3.000000000E0
4.428741686E2,6.506103310E1,2.546770881E1,1.946571459E1,1.520529747E0,3.498364868E2,2.312322617E0,3.000000000E0
4.438744696E2,6.506105069E1,2.546770888E1,1.990227094E1,1.548591018E0,3.522412720E2,2.301919937E0,3.000000000E0
